Landroid/content/Intent;,getStringExtra,(Ljava/lang/String;)Ljava/lang/String;
Landroid/os/Looper;,getMainLooper,()Landroid/os/Looper;
Landroid/os/Handler;,post,(Ljava/lang/Runnable;)Z
Landroid/os/Handler;,<init>,(Landroid/os/Looper;)V
Landroid/view/View;,isAttachedToWindow,()Z
Landroid/view/View;,getVisibility,()I
Landroid/content/Intent;,hasExtra,(Ljava/lang/String;)Z
Landroid/text/TextUtils;,isEmpty,(Ljava/lang/CharSequence;)Z
Landroid/os/Handler;,hasCallbacks,(Ljava/lang/Runnable;)Z
Landroid/content/Intent;,getAction,()Ljava/lang/String;
Landroid/app/KeyguardManager;,isKeyguardSecure,()Z
Landroid/os/Bundle;,putString,(Ljava/lang/String; Ljava/lang/String;)V
Landroid/os/Bundle;,<init>,()V
Landroid/content/SharedPreferences;,getString,(Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;
Landroid/content/SharedPreferences;,edit,()Landroid/content/SharedPreferences$Editor;
Landroid/content/Context;,getSharedPreferences,(Ljava/lang/String; I)Landroid/content/SharedPreferences;
Landroid/content/Context;,getPackageName,()Ljava/lang/String;
Landroid/os/Handler;,removeCallbacksAndMessages,(Ljava/lang/Object;)V
Landroid/app/KeyguardManager;,isKeyguardLocked,()Z
Landroid/os/HandlerThread;,start,()V
Landroid/os/HandlerThread;,<init>,(Ljava/lang/String; I)V
Landroid/util/SparseIntArray;,<init>,()V
Landroid/os/Handler;,obtainMessage,(I)Landroid/os/Message;
Landroid/os/Handler;,<init>,(Landroid/os/Looper; Landroid/os/Handler$Callback;)V
Landroid/os/Handler;,sendMessage,(Landroid/os/Message;)Z
Landroid/content/pm/PackageManager;,hasSystemFeature,(Ljava/lang/String;)Z
Landroid/content/Context;,getPackageManager,()Landroid/content/pm/PackageManager;
Landroid/os/HandlerThread;,getLooper,()Landroid/os/Looper;
Landroid/content/Context;,getApplicationContext,()Landroid/content/Context;
Landroid/os/Handler;,obtainMessage,(I Ljava/lang/Object;)Landroid/os/Message;
Landroid/content/Context;,checkPermission,(Ljava/lang/String; I I)I
Landroid/os/Process;,myUid,()I
Landroid/os/Process;,myPid,()I
